is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)","(АГП) Соблюдение федеральных норм, правил и требований (6240_30)",(АГП) Управление автовышкой и автогидроподъемником (4336_30),(АГП) Выполнение ежесменного технического обслуживания (4338_30),Выполнение ремонтных работ (ОПТ) (8285_36),(АГП) Обслуживание и ремонт (3691_30),"(стропальщик) Строительные, строительно-монтажные, и монтажные работы (2876_30)",(АГП) Выявление и устранение неисправностей (4337_30),(АГП) Организация подъема и перемещения людей на высоту. (8430_30),(АГП) Знание устройства и принципа работы АГП (8450_30),(АГП) Управление машинами и механизмами различного типа и назначения (6030_30),(АГП) Ведение путевой документации (4316_30),(АГП) Соблюдать требования правил дорожного движения (4314_30),(АГП) Техническое обслуживание и проведение профилактического ремонта автовышки и автогидроподъемника (4687_30),(АГП) Выполнение работ по ежесменному техническому обслуживанию транспортного средства (автомобиля) (8459_30),"(АГП) Выполнение производственных заданий, заявок, распоряжений, поручений (4341_30)",(крановщик) Управление автомобильным краном (5200_30),(АГП) Ведение первичной технической документации (8447_30),(АГП) Знание федеральных норм и правил (5867_30),Целеустремленность (СК) (588_4),Стрессоустойчивость (СК) (601_4),"(АГП) Знание устройства, и правил эксплуатации (5870_30)","Саморазвитие, обучаемость (СК) (604_4)"
False,1.0,Донецкая область,1,False,46800.0,46800.0,12120.8994,6128.0942,4093.7473,2911.2206,2229.7645,1899.0578,1833.9186,1538.2869,1488.1799,1488.1799,1362.9122,1012.1627,967.0664,871.863,846.8094,796.7024,796.7024,721.5418,721.5418,671.4347,626.3383,611.3062,541.1563,521.1135
False,1.0,Республика Северная Осетия,1,False,15653.0,26527.0,6870.3226,3473.5033,2320.4025,1650.1271,1263.8667,1076.4168,1039.4949,871.926,843.5245,843.5245,772.5208,573.7103,548.1489,494.1861,479.9853,451.5838,451.5838,408.9816,408.9816,380.5801,355.0187,346.4983,306.7362,295.3756
False,1.0,Город федерального значения Москва,0,False,26563.5,88000.0,22791.4347,11522.9122,7697.6445,5474.0899,4192.7195,3570.8779,3448.394,2892.5054,2798.2869,2798.2869,2562.7409,1903.212,1818.4154,1639.4004,1592.2912,1498.0728,1498.0728,1356.7452,1356.7452,1262.5268,1177.7302,1149.4647,1017.5589,979.8715
False,1.0,Краснодарский край,0,False,20000.0,80000.0,20719.4861,10475.3747,6997.8587,4976.4454,3811.5632,3246.2527,3134.9036,2629.5503,2543.8972,2543.8972,2329.7645,1730.1927,1653.1049,1490.364,1447.5375,1361.8844,1361.8844,1233.4047,1233.4047,1147.7516,1070.6638,1044.9679,925.0535,890.7923
False,1.0,Республика Коми,1,False,25000.0,75000.0,19424.5182,9820.6638,6560.4925,4665.4176,3573.3405,3043.3619,2938.9722,2465.2034,2384.9036,2384.9036,2184.1542,1622.0557,1549.7859,1397.2163,1357.0664,1276.7666,1276.7666,1156.3169,1156.3169,1076.0171,1003.7473,979.6574,867.2377,835.1178
False,1.0,Город федерального значения Санкт-Петербург,0,False,30000.0,140000.0,36259.1006,18331.9058,12246.2527,8708.7794,6670.2355,5680.9422,5486.0814,4601.7131,4451.8201,4451.8201,4077.0878,3027.8373,2892.9336,2608.137,2533.1906,2383.2976,2383.2976,2158.4582,2158.4582,2008.5653,1873.6617,1828.6938,1618.8437,1558.8865
False,1.0,Иркутская область,1,False,20000.0,120000.0,31079.2291,15713.0621,10496.788,7464.6681,5717.3448,4869.379,4702.3555,3944.3255,3815.8458,3815.8458,3494.6467,2595.2891,2479.6574,2235.546,2171.3062,2042.8266,2042.8266,1850.1071,1850.1071,1721.6274,1605.9957,1567.4518,1387.5803,1336.1884
False,1.0,Волгоградская область,2,False,20000.0,50000.0,12949.6788,6547.1092,4373.6617,3110.2784,2382.227,2028.9079,1959.3148,1643.469,1589.9358,1589.9358,1456.1028,1081.3704,1033.1906,931.4775,904.7109,851.1777,851.1777,770.8779,770.8779,717.3448,669.1649,653.1049,578.1585,556.7452
False,1.0,Кемеровская область,1,False,20000.0,80000.0,20719.4861,10475.3747,6997.8587,4976.4454,3811.5632,3246.2527,3134.9036,2629.5503,2543.8972,2543.8972,2329.7645,1730.1927,1653.1049,1490.364,1447.5375,1361.8844,1361.8844,1233.4047,1233.4047,1147.7516,1070.6638,1044.9679,925.0535,890.7923
False,1.0,Воронежская область,2,False,20000.0,80000.0,20719.4861,10475.3747,6997.8587,4976.4454,3811.5632,3246.2527,3134.9036,2629.5503,2543.8972,2543.8972,2329.7645,1730.1927,1653.1049,1490.364,1447.5375,1361.8844,1361.8844,1233.4047,1233.4047,1147.7516,1070.6638,1044.9679,925.0535,890.7923
False,1.0,Ярославская область,1,False,20000.0,80000.0,20719.4861,10475.3747,6997.8587,4976.4454,3811.5632,3246.2527,3134.9036,2629.5503,2543.8972,2543.8972,2329.7645,1730.1927,1653.1049,1490.364,1447.5375,1361.8844,1361.8844,1233.4047,1233.4047,1147.7516,1070.6638,1044.9679,925.0535,890.7923
False,1.0,Ярославская область,1,True,26563.5,26563.5,6879.7759,3478.2827,2323.5952,1652.3976,1265.6057,1077.8979,1040.9252,873.1257,844.6852,844.6852,773.5837,574.4997,548.9032,494.8661,480.6458,452.2052,452.2052,409.5443,409.5443,381.1037,355.5072,346.9751,307.1582,295.782
False,1.0,Республика Татарстан,0,False,21238.0,140000.0,36259.1006,18331.9058,12246.2527,8708.7794,6670.2355,5680.9422,5486.0814,4601.7131,4451.8201,4451.8201,4077.0878,3027.8373,2892.9336,2608.137,2533.1906,2383.2976,2383.2976,2158.4582,2158.4582,2008.5653,1873.6617,1828.6938,1618.8437,1558.8865
False,1.0,Московская область,2,False,21238.0,140000.0,36259.1006,18331.9058,12246.2527,8708.7794,6670.2355,5680.9422,5486.0814,4601.7131,4451.8201,4451.8201,4077.0878,3027.8373,2892.9336,2608.137,2533.1906,2383.2976,2383.2976,2158.4582,2158.4582,2008.5653,1873.6617,1828.6938,1618.8437,1558.8865
False,1.0,Ленинградская область,1,False,25000.0,40500.0,10489.2398,5303.1585,3542.666,2519.3255,1929.6039,1643.4154,1587.045,1331.2099,1287.848,1287.848,1179.4433,875.9101,836.8844,754.4968,732.8158,689.454,689.454,624.4111,624.4111,581.0493,542.0236,529.015,468.3084,450.9636
False,1.0,Тульская область,1,False,20000.0,40000.0,10359.743,5237.6874,3498.9293,2488.2227,1905.7816,1623.1263,1567.4518,1314.7752,1271.9486,1271.9486,1164.8822,865.0964,826.5525,745.182,723.7687,680.9422,680.9422,616.7024,616.7024,573.8758,535.3319,522.4839,462.5268,445.3961
