bundle_id,bundle_name,bundle_type_id
8616,(Товаровед) Работа с документами,1
8617,(Товаровед) Организация работ с товаром,1
8618,(Товаровед) Проведение инвентаризации,1
8619,Подготовка документов для оформления загранпаспортов,1
8621,Подготовка документов для получения виз,1
8623,(Товаровед) Работа с пакетом Microsoft,1
8624,(Товаровед) Прием товара,1
8625,(Товаровед) Заказ товаров,1
8626,(Товаровед) Контроль товара,1
8627,Работа с клиентами в офисе,1
8628,(Товаровед) Контроль цен,1
8629,(АГП) Внешний осмотр металлоконструкций стрелы АГП (Вышки),1
8630,Формирование клиентской базы (Риэлтор),1
8631,Ведение клиентской базы (Риэлтор),1
8632,Ведение базы объектов (Риэлтор),1
8633,(Товаровед) Контроль качества,1
8634,Ведение базы клиентов (Риэлтор),1
8635,Ведение клиентов в базах (Риэлтор),1
8636,Арабский язык (ЯС),1
8637,Создание/составление клиентской базы (Риэлтор),1
8638,Формирование/наработка базы клиентов (Риэлтор),1
8542,Мозговой штурм,1
8544,Проектирование бизнес-процессов,1
8641,ЖКХсс общие фразы по обслуживанию и ремонту,98
8642,ЖКХсс транспортирование деталей трубопроводов санитарно-технических приборов и других грузов,1
8643,ЖКХсс Выполнение такелажных работ с применением подъемно-транспортных механизмов,1
8644,"ЖКХсс сбор, погрузка/разгрузка и вывоз строительного мусора",1
8645,ЖКХсс Обеспечение исправного состояния безаварийной и надежной работы мусоропровода,1
8646,ЖКХсс сборка деталей и узлов санитарно-технических систем,1
8647,ЖКХсс Знание видов и назначение санитарно-технических материалов и оборудования,2
8648,Управление автопогрузчиком,1
8650,ЖКХсс Чтение чертежей санитарно-технических систем,1
8620,Бонусы и бенефиты от турфирм,10
8622,Сбор документов для получения виз,1
8639,Работа с базой клиентов (Риэлтор),1
8540,Монтаж электронного оборудования,1
8419,Знание технологии производства корпусной мебели,2
8421,Знание технологии производства мебели,2
8422,Знание технологии сборки мебели,2
8423,Знание технологии сборки корпусной мебели,2
8425,Знание технологии обивки мебели,2
8426,"(АГП) Машинист автовышки, автогидроподъемника 4 разряда",6
8427,(АГП) Получение наряда-допуска на производство работ вблизи ЛЭП,1
8432,Испанский язык (ЯС),5
8240,Сбор требований,1
7573,Знание устава автомобильного транспорта (Логистика),2
7610,"ЖКХа монтаж, ремонт и обслуживание телекоммуникационных, телефонных и кабельных трасс и оборудования",1
7539,опыт работы в колл-центре,1
7693,"Подготовка, согласование котировок",1
7706,Знание порядка и условий прохождения муниципальной службы,2
7398,Составление и ведение паспортов на оборудование,1
7558,Нацеленность на результат,1
7523,Ремонт систем теплоснабжения,1
8649,ЖКХсс Знание чертежей санитарно-технических систем,2
8651,ЖКХсс Опыт работы с чертежами санитарно-технических систем,9
8640,Работа/ведение/создание базы недвижимости/объектов (Риэлтор),1
8437,Сербский язык (ЯС),5
7526,Укладка систем водопровода и канализации,1
7837,Порядок представления материалов в Государственный племенной регистр,2
8559,Обеспечивает подготовку помещений к приему животных их размещению,1
8398,(Товаровед) Работа в ПО Меркурий,1
8399,(Товаровед) Знание принципов тов.категорий,2
8572,Согласование результатов/решений,1
7785,Разработка AR/VR (признаки требований),7
8252,Анализ,1
8165,Уметь оформлять наряды,1
8035,Взаимодействие зоотехника с механизатором по кормлению,1
7828,Навыки работы с племенными животными на свиноводческой ферме,1
7457,Знание правил приемки и сдачи оборудования,2
7834,Составление плана случек,1
7513,Смещение торгового баланса (признаки требований),7
7576,Опыт работы в сервисном центре (Логистика),9
8132,осуществлять механизированные работы по уходу за взрослым поголовьем,1
8133,контроль качества животноводческой продукции,1
7886,DeFi (признаки требований),7
7889,Hyperledger (признаки требований),7
7890,Консультирование по сделкам (Риэлтор),1
7791,Разобрать - Требование к опыту работы и образованию,9
7527,Монтаж теплых полов,1
8139,контролировать выполнение программы гибридизации на предприятии,1
7831,Координация работы сотрудников племенной службы,1
8570,Участвует в заготовке приемке и хранении кормов,1
8571,Осуществлять при необходимости социализацию животных,1
8193,Работа с криптовалютой,1
2922,Ремонт систем водоснабжения,1
4626,Умение разрешать проблемы,1
1004,Проведение анализа организационной структуры технического оснащения,1
8652,ЖКХсс разметка мест прокладки трубопроводов по строительным чертежам,1
8523,Опыт работы на термопластавтомате,9
8438,Вьетнамский язык (ЯС),5
8447,(АГП) Ведение первичной технической документации,1
8455,(Товаровед) Знание пакета Microsoft,2
8277,"ЖКХс  знать устройство и принцип работы, способы ремота и и технологию монтажа/установки различных типов насосов/насосных установок/станций",2
7391,Учет страховых случаев,1
4910,Учет транспортного налога,1
7418,Оценка положения компании,1
7591,Обработка естественного языка (признаки требований),7
2717,Изучать/применять опыт передовых библиотек (Библиотека),1
5678,Управленческая документация,1
8282,Контроль режущего инструмента,1
3710,ХКХ работа с заявками на гарантийное обслуживание,1
8478,ведет наблюдение за состоянием птицы,1
7775,Oculus Rift (признаки требований),7
7799,Зеленая энергетика (признаки требований):,7
2677,Проводить индивидуальную работу с читателями (Библиотека),1
5972,Отслеживание исправности контрольно-измерительных приборов,1
8382,(АГП) Управление грузовым автомобилем,1
8407,(Товаровед) Знание правил инвентаризации,2
8409,Работы на горизонтально-расточном станке,1
8411,(Товаровед) Опыт работы в ПО iiko/GK/Retail,9
8653,Управление специальными грузозахватными механизмами,1
8459,(АГП) Выполнение работ по ежесменному техническому обслуживанию транспортного средства (автомобиля),1
8412,Знание элементной базы электроники,2
8413,Опыт работы на приборостроительном производстве,9
8414,Оформление учетной документации,1
8227,Аренда квартир/помещений (Риэлтор),1
8258,Декомпозиция,1
8152,Ведение статистики отказов машинно-тракторного парка,1
8415,Контролирует выполнение зоогигиенических и ветеринарных правил,1
8416,Правила ухода за животными,2
8418,Оказание ветеринарных услуг подконтрольным объектам,1
8408,Выявление потребностей клиента (ОПТ),1
8410,(Товаровед) Знание ПО iiko/GK/Retail,2
8417,Выполнение контрольно-исполнительной геодезической съемки,1
8374,(Товаровед) Знание и практ.навыки товароведения,2
8259,Загрузка настроек,1
8148,Навык внедрения системы смазки,1
8149,Знания системы смазки,2
8168,Участие в проектных работах,1
8003,Проведение показов/просмотров (Риэлтор),1
6079,Знание инструментов и принципов бережливого производства,2
5039,Дополнительные обязанности,1
7652,Сенсорные технологии (признаки требований),7
7818,Знание рынка поставщиков и производителей оборудования,2
7620,Автоматизация рабочих процессов (признаки требований),7
347,Организация и контроль обеспечения безопасных условий и охраны труда,1
3376,Приготовление пирожных,1
8324,Корпоративное обучение (Риэлтор),1
7764,Промышленный IoT (признаки требований),7
7766,Смарт-гаджеты (признаки требований),7
8654,Установка и замена съемных грузозахватных приспособлений и механизмов,1
8655,ППР грузозахватных механизмов,1
8657,(Товаровед) Управление персоналом,1
7786,AR (признаки требований),7
8610,Формулировки/терминология,1
7895,R3 Corda (признаки требований),7
7898,Блокчейн (признаки требований):,7
7902,Разработка смарт-контрактов (признаки требований),7
8058,Проверка комплектности документации,1
7953,Стипендии во время обучения (признаки требований),7
8470,Обеспечить прием и сохранность кормов,1
7958,Знание систем бронирования,2
7967,Правовое/документальное сопровождение/оформление (Риэлтор),1
7839,Хранение полученных патентов и авторских свидетельств,2
8051,Уметь контролировать затраты на ремонт,1
8107,Ведение сервисных книжек,1
8110,Проведение квалификации оборудования,1
8111,Ведение электронных баз данных оборудования,1
8509,Нанесение маркировки на яйца,1
8112,Проведение работ на высоте,1
8113,Выставление коммерческих предложений,1
8116,ЖКХс Монтаж систем  отопления и ГВС,1
8094,Умение собирать технику и оборудование,1
7956,Подбор туров,1
8026,Составление плана-графика осеменения,1
7966,Сопровождение сделок комм./офис.недвижимости (Риэлтор),1
7904,Токенизация (признаки требований),7
7741,Умение работать в ВЭД,1
